PM10 AQI Value,Date,Month,City,ALAND,Total,TotalNotHi,White,Black,Native,Asian,NativePaci,OtherNotHi,Hispanic
63,2015-01-06,January,Long Beach,160804,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,242877,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,94468,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,202895,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,102408,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,103033,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,73838,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,90051,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,6478839,1619012,731170,271473,207298,4556,191063,14076,83487,887842
63,2015-01-06,January,Long Beach,12659821,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,86659,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,162110,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,63287,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,60809,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,46337,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,206371,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,0,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,197606,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,87621,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,564615,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,140244,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,123275,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,1125958,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,269587,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,401152,1619012,731170,271473,207298,4556,191063,14076,83487,887842
51,2015-01-12,January,Long Beach,78972,1619012,731170,271473,207298,4556,191063,14076,83487,887842
